state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
ARIZONA,Cities,Apache Junction,43385,2169,449,1123,597,398,71,259,68,4,2,2,0,0,0,0,12,35,8,0,2,24,0,1,6,0,125,28,155,2,1,121,53,27,41,0,0,0,0,563,0,0,132,50,4,143,21,213,88,10,24,9,527,289,238,0,0,0,0,0,6,0,0,0,0,55
,,Casa Grande,59822,3841,1108,1712,1021,980,284,567,129,1,1,0,0,0,0,0,28,99,20,3,0,59,0,17,14,1,156,36,205,4,5,159,102,34,0,0,0,23,0,973,2,2,415,54,0,214,24,262,110,38,11,3,880,411,469,0,0,0,0,0,25,1,0,1,0,112
,,Coolidge,13277,1316,202,529,585,187,73,107,7,0,0,0,0,0,0,0,4,11,4,0,0,5,0,2,5,0,38,8,130,0,0,18,8,6,4,0,0,0,0,300,0,0,175,0,0,13,3,109,20,5,5,0,545,266,279,0,0,0,0,0,0,0,0,0,0,40
,,Eagar,4944,91,25,34,32,21,9,8,4,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0,7,1,3,0,0,1,0,0,0,0,0,1,0,19,0,0,2,1,0,6,1,9,3,0,0,0,31,17,14,0,0,0,0,0,0,0,0,0,0,1
,,Gilbert,259629,11263,2176,6048,3039,1987,195,1356,436,4,4,0,0,0,0,0,37,148,46,1,0,79,0,22,10,0,363,95,2027,22,27,925,301,158,12,0,0,448,6,2305,2,5,651,53,0,579,59,956,155,40,79,31,2800,1190,1610,0,0,0,0,0,75,3,1,2,0,130
,,Huachuca City,1723,30,2,19,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,2,0,1,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,1
,,Lake Havasu City,56243,2656,794,1177,685,720,75,600,45,0,0,0,0,0,0,0,2,72,26,1,0,28,4,13,7,0,103,27,77,1,2,273,143,59,8,0,0,61,2,627,0,2,133,2,3,123,13,351,53,3,4,26,614,331,283,0,0,0,0,0,13,0,0,0,0,32
,,Mesa,527361,27198,6604,14513,6081,5941,1345,3833,763,28,19,3,6,4,4,0,146,485,151,48,41,210,1,34,22,0,1608,204,1147,74,39,2439,786,687,27,4,111,812,12,7440,11,12,2171,756,18,2120,653,1699,1037,383,120,54,5555,2448,3107,0,0,0,0,0,35,34,13,6,15,403
,,Oro Valley,46634,1671,137,979,555,130,16,102,12,1,0,0,1,1,1,0,0,5,3,0,0,2,0,0,1,0,40,4,186,2,0,215,73,37,14,0,4,69,18,502,0,0,196,45,0,128,13,120,18,8,3,2,539,242,297,0,0,0,0,0,0,0,0,0,0,14
,,Parker,3224,214,19,157,38,15,6,7,2,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,2,0,23,3,58,0,0,13,7,4,0,0,0,2,0,45,0,0,5,2,0,8,0,30,11,1,1,0,35,25,10,0,0,0,0,0,1,0,0,0,0,2
