state,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
CONNECTICUT,2862137.0,111569.0,27784.0,74861.0,10778.0,25952.0,2757.0,14340.0,8855.0,134.0,113.0,19.0,2.0,10.0,9.0,1.0,248.0,1440.0,433.0,60.0,47.0,767.0,15.0,118.0,159.0,3.0,5699.0,1354.0,14389.0,213.0,164.0,8551.0,2595.0,2144.0,941.0,11.0,657.0,2105.0,98.0,36897.0,68.0,79.0,9592.0,4352.0,20.0,11328.0,2730.0,8728.0,7279.0,1688.0,1278.0,85.0,8058.0,6060.0,1998.0,16.0,2.0,2.0,12.0,0.0,208.0,39.0,29.0,10.0,0.0,2372.0
DELAWARE,298909.0,66230.0,16131.0,37194.0,12905.0,15235.0,3324.0,9352.0,2559.0,86.0,72.0,11.0,3.0,6.0,4.0,2.0,215.0,589.0,193.0,62.0,20.0,295.0,1.0,18.0,129.0,1.0,2570.0,427.0,9078.0,150.0,74.0,6080.0,1689.0,1032.0,695.0,0.0,538.0,2090.0,36.0,15831.0,35.0,28.0,4658.0,3369.0,26.0,4334.0,979.0,2402.0,1596.0,705.0,553.0,1154.0,9407.0,6677.0,2730.0,31.0,27.0,2.0,1.0,1.0,104.0,41.0,22.0,3.0,16.0,2168.0
DISTRICT OF COLUMBIA,0.0,2535.0,1062.0,1065.0,408.0,994.0,129.0,761.0,104.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,3.0,0.0,1.0,58.0,0.0,0.0,2.0,0.0,1.0,4.0,428.0,0.0,0.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,412.0,14.0,118.0,0.0,11.0,2.0,45.0,26.0,196.0,29.0,165.0,15.0,1.0,330.0,305.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
GEORGIA,2546081.0,284980.0,80969.0,169319.0,34692.0,73662.0,16094.0,42161.0,15407.0,397.0,372.0,13.0,12.0,179.0,154.0,25.0,1558.0,5173.0,1185.0,631.0,214.0,2800.0,34.0,309.0,530.0,8.0,15591.0,4948.0,29217.0,255.0,220.0,23241.0,11943.0,4603.0,3609.0,6.0,156.0,2805.0,119.0,79601.0,1132.0,196.0,14552.0,4175.0,72.0,21375.0,2523.0,35576.0,10660.0,2715.0,2333.0,849.0,28514.0,24374.0,4140.0,26.0,9.0,6.0,11.0,0.0,1048.0,191.0,116.0,67.0,8.0,4064.0
LOUISIANA,156619.0,65819.0,17980.0,35795.0,12044.0,17080.0,5270.0,9286.0,2524.0,98.0,95.0,3.0,0.0,1.0,1.0,0.0,182.0,619.0,219.0,52.0,46.0,239.0,4.0,59.0,56.0,1.0,4889.0,604.0,7596.0,127.0,51.0,1381.0,203.0,182.0,968.0,0.0,28.0,0.0,0.0,18080.0,3.0,8.0,2030.0,654.0,10.0,2629.0,89.0,12657.0,1947.0,361.0,702.0,2.0,10069.0,7274.0,2795.0,3.0,3.0,0.0,0.0,0.0,237.0,79.0,58.0,21.0,0.0,1654.0
MAINE,466254.0,27770.0,8205.0,16445.0,3120.0,7473.0,479.0,4490.0,2504.0,20.0,13.0,4.0,3.0,3.0,3.0,0.0,19.0,690.0,320.0,28.0,4.0,287.0,5.0,46.0,168.0,2.0,1158.0,321.0,4055.0,97.0,39.0,2471.0,1198.0,514.0,409.0,12.0,152.0,170.0,16.0,7478.0,4.0,7.0,1331.0,709.0,2.0,990.0,209.0,4226.0,494.0,98.0,64.0,26.0,2650.0,2267.0,383.0,2.0,0.0,2.0,0.0,0.0,215.0,37.0,21.0,12.0,4.0,190.0
MARYLAND,59008.0,30334.0,5125.0,22846.0,2363.0,4591.0,789.0,3743.0,59.0,20.0,18.0,0.0,2.0,3.0,3.0,0.0,7.0,504.0,192.0,85.0,62.0,158.0,0.0,7.0,9.0,0.0,1301.0,496.0,3165.0,63.0,100.0,3824.0,1314.0,931.0,49.0,0.0,45.0,1442.0,43.0,12335.0,80.0,64.0,2412.0,1500.0,13.0,4862.0,1136.0,2268.0,1109.0,431.0,13.0,0.0,1996.0,1824.0,172.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,14.0,1.0,8.0,274.0
MASSACHUSETTS,6993995.0,244872.0,68369.0,163314.0,13189.0,64299.0,16088.0,34877.0,13334.0,167.0,160.0,6.0,1.0,28.0,23.0,5.0,484.0,3391.0,1430.0,320.0,53.0,954.0,59.0,575.0,417.0,12.0,10233.0,2509.0,29667.0,332.0,527.0,51166.0,12397.0,3779.0,22508.0,3900.0,1011.0,7500.0,71.0,56932.0,550.0,223.0,10837.0,6864.0,13.0,11704.0,2314.0,24427.0,6792.0,2989.0,1738.0,114.0,8753.0,8582.0,171.0,59.0,4.0,54.0,1.0,0.0,888.0,155.0,131.0,23.0,1.0,3220.0
MISSISSIPPI,575244.0,54070.0,13720.0,30345.0,11693.0,13038.0,1332.0,10134.0,2188.0,77.0,55.0,18.0,4.0,0.0,0.0,0.0,62.0,568.0,297.0,19.0,29.0,181.0,1.0,41.0,117.0,7.0,3860.0,586.0,4826.0,387.0,26.0,3108.0,1100.0,1028.0,407.0,4.0,54.0,509.0,6.0,15011.0,5.0,9.0,3885.0,163.0,45.0,3127.0,155.0,7622.0,1816.0,310.0,481.0,187.0,10165.0,6859.0,3306.0,7.0,6.0,0.0,1.0,0.0,105.0,15.0,10.0,4.0,1.0,1214.0
NEW HAMPSHIRE,1299709.0,49273.0,14789.0,27969.0,7454.0,12987.0,1071.0,8624.0,3292.0,23.0,11.0,12.0,0.0,7.0,4.0,3.0,252.0,1520.0,446.0,49.0,22.0,889.0,21.0,93.0,145.0,3.0,1245.0,687.0,7803.0,109.0,122.0,5441.0,2108.0,972.0,592.0,4.0,159.0,1535.0,71.0,12147.0,4.0,7.0,3139.0,2431.0,11.0,1983.0,662.0,3910.0,895.0,260.0,704.0,188.0,6041.0,5813.0,228.0,4.0,0.0,4.0,0.0,0.0,696.0,68.0,35.0,26.0,7.0,457.0
NEW YORK,668166.0,35006.0,8211.0,24482.0,2313.0,7717.0,1019.0,5526.0,1172.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,99.0,386.0,118.0,70.0,4.0,174.0,1.0,19.0,64.0,1.0,1824.0,522.0,5441.0,7.0,37.0,1866.0,104.0,15.0,270.0,5.0,0.0,1459.0,13.0,13162.0,23.0,24.0,3394.0,1218.0,21.0,1574.0,344.0,6564.0,833.0,302.0,423.0,0.0,1886.0,1624.0,262.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,24.0,1.0,0.0,356.0
NORTH CAROLINA,5226511.0,531141.0,121553.0,314157.0,95431.0,113701.0,28359.0,68115.0,17227.0,774.0,710.0,47.0,17.0,51.0,20.0,31.0,1804.0,5223.0,1826.0,358.0,212.0,2310.0,100.0,417.0,1338.0,10.0,37539.0,4805.0,54624.0,1645.0,608.0,36828.0,19090.0,9367.0,2213.0,97.0,1715.0,4159.0,187.0,148614.0,293.0,532.0,32941.0,11720.0,358.0,37932.0,8672.0,56166.0,16805.0,6341.0,5000.0,444.0,80792.0,53232.0,27560.0,91.0,20.0,41.0,30.0,0.0,1489.0,287.0,155.0,116.0,16.0,12328.0
PENNSYLVANIA,12504.0,156.0,22.0,98.0,36.0,22.0,1.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,22.0,0.0,0.0,21.0,14.0,3.0,0.0,0.0,1.0,3.0,0.0,40.0,0.0,0.0,22.0,2.0,0.0,3.0,0.0,13.0,3.0,0.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0
