index,RegionName,State,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,mean
3,Chicago,IL,Cook County,4,,1600.0,1500.0,1500.0,1500.0,1550.0,1500.0,1500.0,1600.0,1650.0,1700.0,1800.0,1605.0,1600.0,1600.0,1600.0,1625.0,1625.0,1650.0,1650.0,1650.0,1650.0,1600.0,1600.0,1625.0,1635.0,1650.0,1600.0,1600.0,1650.0,1650.0,1650.0,1599.0,1599.0,1565.0,1599.0,1595.0,1585.0,1590.0,1575.0,1600.0,1600.0,1637.0,1635.0,1663.0,1700.0,1695.0,1700.0,1695.0,1685.0,1695.0,1700.0,1754.0,1764.0,1790.0,1800.0,1800.0,1800.0,1798.0,1795.0,1750.0,1750.0,1795.0,1750.0,1794.0,1795.0,1800.0,1800.0,1750.0,1725.0,1740.0,1700.0,1738.0,1750.0,1752.0,1775.0,1750.0,1750.0,1750.0,1750.0,1700.0,1725.0,1700.0,1699.0,1700.0,1700.0,1750.0,1764.0,1800.0,1800.0,1850.0,1800.0,1800.0,1750.0,1750.0,1720.0,1701.0,1740.0,1750.0,1770.0,1800.0,1850.0,1850.0,1850.0,1800.0,1795.0,1770.0,1750.0,1750.0,1725.0,1775.0,1795.0,1800.0,1800.0,1800.0,1812.5,1800.0,1800.0,1766.0,1750.0,1690.8625
13,Indianapolis,IN,Marion County,14,,,,,,,,,,,,,,800.0,799.0,825.0,800.0,750.0,750.0,775.0,750.0,750.0,775.0,795.0,795.0,800.0,775.0,775.0,765.0,775.0,775.0,775.0,785.0,775.0,775.0,750.0,750.0,775.0,795.0,800.0,800.0,800.0,850.0,850.0,804.0,795.0,800.0,825.0,850.0,850.0,850.0,850.0,875.0,850.0,895.0,900.0,875.0,899.5,850.0,850.0,850.0,900.0,900.0,932.5,950.0,925.0,900.0,900.0,895.0,850.0,850.0,850.0,850.0,850.0,900.0,950.0,950.0,950.0,1000.0,950.0,950.0,922.5,950.0,950.0,950.0,999.0,1000.0,1000.0,1050.0,1025.0,1040.0,1000.0,1050.0,1000.0,995.0,995.0,995.0,1000.0,1045.0,1050.0,1090.0,1000.0,1050.0,1050.0,1049.5,1000.0,995.0,995.0,995.0,990.0,1000.0,1025.0,1099.0,1100.0,1100.0,1149.0,1115.0,1115.0,1075.0,1050.0,898.6388888888889
18,Columbus,OH,Franklin County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,950.0,1000.0,950.0,930.0,925.0,930.0,1000.0,950.0,925.0,950.0,999.0,1025.0,975.0,1000.0,1050.0,1010.0,1050.0,1009.0,1095.0,1095.0,1095.0,1009.0,1100.0,1100.0,1175.0,1100.0,1100.0,1150.0,1195.0,1200.0,1190.0,1150.0,1125.0,1079.0,1150.0,1195.0,1095.0,1075.0,1150.0,1189.0,1175.0,1250.0,1200.0,1217.0,1200.0,1199.0,1295.0,1300.0,1250.0,1222.0,1225.0,1250.0,1300.0,1345.0,1295.0,1295.0,1275.0,1300.0,1400.0,1399.0,1299.0,1250.0,1275.0,1300.0,1300.0,1350.0,1300.0,1300.0,1295.0,1295.0,1300.0,1300.0,1270.0,1255.0,1144.6052631578948
22,Detroit,MI,Wayne County,23,,,900.0,900.0,900.0,850.0,775.0,850.0,850.0,807.5,850.0,800.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,700.0,700.0,700.0,720.0,725.0,700.0,725.0,738.0,700.0,700.0,700.0,700.0,750.0,700.0,725.0,700.0,725.0,750.0,725.0,750.0,700.0,750.0,725.0,725.0,725.0,725.0,700.0,742.5,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,775.0,775.0,800.0,800.0,800.0,775.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,825.0,825.0,800.0,800.0,800.0,800.0,825.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,761.1848739495798
32,Milwaukee,WI,Milwaukee County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,1150.0,1185.0,1175.0,1110.0,1135.0,999.0,995.0,975.0,997.0,1050.0,999.0,1000.0,1095.0,1095.0,1050.0,1075.0,1010.0,1000.0,1097.0,1100.0,1100.0,1075.0,1112.5,975.0,1127.5,999.5,1000.0,1070.0,985.0,999.0,1025.0,1100.0,1100.0,1175.0,1050.0,1050.0,1075.0,1050.0,1000.0,1025.0,1000.0,1025.0,1025.0,1045.0,1050.0,1150.0,1095.0,1095.0,1085.0,1050.0,1050.0,1050.0,1000.0,1000.0,1050.0,1075.0,1100.0,1100.0,1150.0,1112.5,1100.0,1095.0,1072.5,1050.0,1075.0,1075.0,1048.4338235294117
34,Omaha,NE,Douglas County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,1225.0,1287.5,1300.0,1275.0,1295.0,1275.0,1275.0,1250.0,1250.0,1225.0,1250.0,1250.0,1300.0,1310.0,1295.0,1300.0,1300.0,1300.0,1250.0,1250.0,1250.0,1250.0,1247.5,1250.0,1295.0,1300.0,1300.0,1345.0,1315.0,1350.0,1300.0,1290.0,1250.0,1250.0,1241.388888888889
41,Kansas City,MO,Jackson County,42,,,,,,,,,,,,,,,,,,,,,,,,,950.0,875.0,900.0,950.0,875.0,875.0,900.0,895.0,850.0,850.0,850.0,800.0,800.0,800.0,800.0,800.0,850.0,800.0,795.0,756.5,775.0,800.0,800.0,800.0,825.0,815.0,825.0,825.0,850.0,850.0,850.0,825.0,800.0,800.0,800.0,825.0,825.0,800.0,825.0,825.0,825.0,850.0,865.0,899.5,895.0,862.5,850.0,850.0,875.0,895.0,899.5,925.0,950.0,950.0,975.0,950.0,907.0,950.0,940.0,950.0,900.0,900.0,900.0,950.0,975.0,995.0,975.0,1000.0,995.0,995.0,995.0,995.0,975.0,950.0,975.0,995.0,1000.0,1050.0,1000.0,1000.0,1025.0,1025.0,1012.5,1000.0,995.0,1050.0,1050.0,1050.0,1080.0,1100.0,1100.0,1095.0,1050.0,1025.0,1025.0,1045.0,903.7577319587627
47,Minneapolis,MN,Hennepin County,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,1395.0,1600.0,1600.0,1600.0,1595.0,1565.0,1550.0,1550.0,1500.0,1495.0,1532.5,1412.5,1499.0,1495.0,1395.0,1400.0,1395.0,1395.0,1400.0,1495.0,1400.0,1400.0,1445.0,1425.0,1495.0,1495.0,1495.0,1450.0,1475.0,1550.0,1550.0,1512.5,1495.0,1495.0,1495.0,1495.0,1595.0,1650.0,1695.0,1595.0,1500.0,1500.0,1495.0,1499.0,1595.0,1495.0,1475.0,1500.0,1495.0,1534.5,1575.0,1650.0,1650.0,1600.0,1597.5,1595.0,1625.0,1600.0,1595.0,1595.0,1800.0,1875.0,1795.0,1795.0,1695.0,1795.0,1770.0,1750.0,1700.0,1725.0,1700.0,1790.0,1847.5,1795.0,1750.0,1775.0,1750.0,1844.5,1842.0,1795.0,1795.0,1795.0,1795.0,1795.0,1795.0,1800.0,1582.4943181818182
49,Cleveland,OH,Cuyahoga County,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.0,850.0,850.0,800.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,825.0,850.0,825.0,825.0,800.0,850.0,850.0,850.0,850.0,870.0,850.0,850.0,850.0,850.0,850.0,850.0,875.0,900.0,900.0,920.0,900.0,899.0,900.0,900.0,900.0,900.0,895.0,895.0,840.1
54,Wichita,KS,Sedgwick County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,850.0,895.0,795.0,815.0,800.0,770.0,850.0,850.0,800.0,795.0,800.0,850.0,850.0,837.5,795.0,725.0,800.0,800.0,750.0,800.0,750.0,750.0,750.0,750.0,800.0,800.0,795.0,825.0,850.0,850.0,850.0,875.0,875.0,850.0,900.0,900.0,900.0,895.0,899.0,850.0,850.0,837.5,825.0,850.0,875.0,850.0,875.0,891.0,875.0,850.0,850.0,850.0,845.0,850.0,800.0,800.0,840.0,850.0,895.0,900.0,895.0,895.0,875.0,850.0,875.0,875.0,875.0,890.0,850.0,850.0,850.0,875.0,900.0,875.0,850.0,900.0,875.0,850.0,850.0,825.0,815.0,800.0,850.0,850.0,875.0,850.0,850.0,875.0,875.0,850.0,850.0,847.5,834.9468085106383
