index,RegionName,State,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,mean
0,New York,NY,Queens County,1,,,,,2300.0,2450.0,2495.0,2400.0,2600.0,2800.0,2680.0,2900.0,2600.0,2350.0,2595.0,2695.0,2700.0,2700.0,2800.0,2870.0,2850.0,2800.0,2650.0,2595.0,2450.0,2600.0,2550.0,2595.0,2650.0,2600.0,2650.0,2695.0,2700.0,2750.0,2750.0,2800.0,2800.0,2800.0,2800.0,2800.0,2900.0,2800.0,2700.0,2800.0,2850.0,2850.0,2900.0,2900.0,2915.5,2914.0,2895.0,2850.0,2925.0,2995.0,2895.0,2900.0,2900.0,2912.5,2895.0,2800.0,2900.0,2944.5,2950.0,2950.0,2900.0,3000.0,3000.0,3000.0,3000.0,2990.0,2960.5,2995.0,2986.5,2950.0,2976.0,2990.0,2987.5,2900.0,2950.0,2950.0,2908.0,2950.0,2900.0,2875.0,2900.0,2995.0,2995.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2950.0,2925.0,2918.0,2900.0,2895.0,2850.0,2850.0,2900.0,2900.0,2900.0,2900.0,2900.0,2850.0,2800.0,2800.0,2800.0,2800.0,2800.0,2875.0,2900.0,2895.0,2850.0,2925.0,2900.0,2900.0,2899.0,2900.0,2810.2820512820517
5,Philadelphia,PA,Philadelphia County,6,,1350.0,1292.5,1250.0,1300.0,1425.0,1474.5,1500.0,1450.0,1485.0,1450.0,1500.0,1392.5,1375.0,1450.0,1500.0,1495.0,1450.0,1450.0,1495.0,1400.0,1350.0,1325.0,1325.0,1250.0,1350.0,1400.0,1422.5,1400.0,1400.0,1350.0,1295.0,1200.0,1200.0,1200.0,1150.0,1150.0,1200.0,1295.0,1350.0,1400.0,1350.0,1300.0,1296.5,1300.0,1295.0,1250.0,1250.0,1250.0,1200.0,1250.0,1300.0,1500.0,1500.0,1500.0,1450.0,1400.0,1375.0,1350.0,1300.0,1395.0,1400.0,1500.0,1550.0,1595.0,1550.0,1500.0,1500.0,1475.0,1422.5,1425.0,1400.0,1400.0,1400.0,1500.0,1575.0,1550.0,1500.0,1450.0,1400.0,1399.0,1300.0,1397.5,1300.0,1325.0,1375.0,1500.0,1525.0,1550.0,1520.0,1500.0,1495.0,1440.0,1450.0,1450.0,1400.0,1400.0,1400.0,1495.0,1525.0,1550.0,1500.0,1500.0,1485.0,1425.0,1400.0,1450.0,1400.0,1400.0,1450.0,1500.0,1595.0,1595.0,1595.0,1550.0,1500.0,1500.0,1500.0,1500.0,1500.0,1400.4041666666667
26,Boston,MA,Suffolk County,27,,,,,,,,,2122.5,2167.5,2200.0,2242.5,2480.0,2300.0,2200.0,2125.0,2100.0,2200.0,2250.0,2302.0,2500.0,2500.0,2500.0,2400.0,2400.0,2400.0,2375.0,2300.0,2300.0,2350.0,2400.0,2400.0,2650.0,2600.0,2600.0,2592.5,2600.0,2500.0,2500.0,2500.0,2450.0,2500.0,2500.0,2495.0,2450.0,2600.0,2600.0,2599.0,2600.0,2600.0,2600.0,2600.0,2600.0,2607.5,2600.0,2600.0,2550.0,2595.0,2500.0,2600.0,2700.0,2700.0,2650.0,2650.0,2600.0,2600.0,2600.0,2600.0,2542.5,2500.0,2599.0,2645.0,2800.0,2800.0,2700.0,2650.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2605.0,2800.0,2795.0,2800.0,2800.0,2700.0,2675.0,2650.0,2650.0,2700.0,2650.0,2700.0,2790.0,2800.0,2850.0,2800.0,2700.0,2750.0,2750.0,2750.0,2700.0,2700.0,2750.0,2800.0,2850.0,2900.0,2900.0,2900.0,2900.0,2800.0,2800.0,2800.0,2795.0,2795.0,2800.0,2800.0,2900.0,2570.548672566372
27,Washington,DC,District of Columbia,28,,2275.0,1972.5,1999.0,2000.0,2125.0,2300.0,2200.0,2180.0,2200.0,2156.5,2250.0,2400.0,2300.0,2295.0,2300.0,2400.0,2350.0,2450.0,2460.0,2497.5,2500.0,2500.0,2342.5,2350.0,2400.0,2400.0,2395.0,2350.0,2434.5,2300.0,2300.0,2450.0,2497.5,2500.0,2410.0,2410.0,2597.5,2500.0,2400.0,2350.0,2450.0,2500.0,2450.0,2480.0,2350.0,2499.0,2450.0,2400.0,2450.0,2400.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2495.0,2450.0,2400.0,2500.0,2420.0,2500.0,2500.0,2500.0,2500.0,2500.0,2550.0,2600.0,2550.0,2500.0,2500.0,2550.0,2550.0,2500.0,2500.0,2580.0,2550.0,2600.0,2595.0,2500.0,2500.0,2500.0,2500.0,2500.0,2600.0,2550.0,2600.0,2700.0,2695.0,2700.0,2600.0,2600.0,2575.0,2550.0,2595.0,2550.0,2500.0,2500.0,2600.0,2650.0,2675.0,2700.0,2650.0,2680.0,2600.0,2600.0,2600.0,2600.0,2605.0,2600.0,2650.0,2700.0,2750.0,2730.0,2700.0,2700.0,2700.0,2700.0,2730.0,2462.329166666667
60,Pittsburgh,PA,Allegheny County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,1200.0,1000.0,1100.0,1250.0,1200.0,1250.0,1225.0,1275.0,1200.0,1250.0,1250.0,1200.0,1200.0,1197.5,1200.0,1250.0,1295.0,1299.0,1299.5,1362.5,1400.0,1300.0,1250.0,1200.0,1200.0,1195.0,1200.0,1250.0,1350.0,1350.0,1350.0,1350.0,1300.0,1300.0,1250.0,1200.0,1200.0,1250.0,1275.0,1299.0,1350.0,1365.0,1350.0,1350.0,1350.0,1299.0,1250.0,1200.0,1300.0,1250.0,1350.0,1350.0,1350.0,1395.0,1400.0,1400.0,1400.0,1382.5,1250.0,1275.0,1325.0,1350.0,1325.0,1350.0,1350.0,1350.0,1350.0,1350.0,1300.0,1295.0,1250.0,1295.0,1350.0,1350.0,1395.0,1399.0,1450.0,1400.0,1400.0,1400.0,1395.0,1392.5,1300.0,1400.0,1450.0,1400.0,1286.6079545454545
89,Buffalo,NY,Erie County,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,925.0,925.0,987.5,1000.0,1000.0,1100.0,1000.0,1025.0,975.0,1000.0,1000.0,1000.0,1000.0,1025.0,1000.0,1025.0,1200.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1050.0,1050.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1075.0,1100.0,1100.0,1100.0,1027.5625
136,Yonkers,NY,Westchester County,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,1975.0,1850.0,1875.0,1837.5,1800.0,2000.0,1800.0,1800.0,1997.5,1850.0,2100.0,1900.0,1850.0,1800.0,1800.0,1750.0,1987.5,2000.0,2000.0,2000.0,1912.5,2250.0,2200.0,2400.0,2250.0,2200.0,2200.0,2200.0,2225.0,2000.0,2000.0,1950.0,1970.0,2000.0,2100.0,2000.0,2100.0,2200.0,2100.0,2200.0,2200.0,2300.0,2300.0,2280.0,2200.0,2200.0,2095.0,2000.0,2150.0,2000.0,1975.0,2008.811320754717
156,Worcester,MA,Worcester County,157,,,,,,,,,,,,,,,,,1095.0,1175.0,1200.0,1200.0,1195.0,1195.0,1195.0,1350.0,1225.0,1250.0,1195.0,1050.0,1050.0,1195.0,1125.0,1150.0,1200.0,1150.0,1100.0,1100.0,1062.5,1050.0,1100.0,1100.0,1100.0,1050.0,1050.0,1000.0,1150.0,1250.0,1295.0,1300.0,1350.0,1250.0,1250.0,1250.0,1200.0,1197.5,1250.0,1250.0,1250.0,1300.0,1300.0,1300.0,1287.5,1300.0,1350.0,1200.0,1200.0,1200.0,1300.0,1350.0,1350.0,1350.0,1300.0,1300.0,1300.0,1300.0,1400.0,1300.0,1300.0,1300.0,1400.0,1400.0,1300.0,1400.0,1300.0,1200.0,1400.0,1300.0,1300.0,1350.0,1350.0,1400.0,1400.0,1400.0,1500.0,1400.0,1400.0,1400.0,1450.0,1400.0,1450.0,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1400.0,1450.0,1450.0,1500.0,1600.0,1595.0,1600.0,1600.0,1292.2809523809524
164,Providence,RI,Providence County,165,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,1250.0,1297.5,1395.0,1350.0,1385.0,1395.0,1250.0,1200.0,1200.0,1200.0,1275.0,1375.0,1415.0,1400.0,1375.0,1295.0,1200.0,1250.0,1325.0,1500.0,1495.0,1450.0,1412.5,1400.0,1425.0,1495.0,1500.0,1450.0,1400.0,1497.5,1500.0,1495.0,1450.0,1400.0,1500.0,1700.0,1650.0,1600.0,1650.0,1600.0,1600.0,1600.0,1750.0,1700.0,1600.0,1875.0,1900.0,1900.0,1800.0,1900.0,1850.0,1530.0,1600.0,1500.0,1725.0,1825.0,1650.0,1560.0,1750.0,1762.5,1987.5,2000.0,1895.0,1950.0,1950.0,2000.0,2000.0,1800.0,1925.0,1925.0,2000.0,2100.0,2012.5,2000.0,2000.0,2000.0,1897.5,1800.0,1875.0,1950.0,2100.0,2200.0,2100.0,2100.0,2200.0,2000.0,1997.5,1900.0,1800.0,1800.0,1800.0,1900.0,1950.0,2100.0,1658.90625
198,Springfield,MA,Hampden County,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,1300.0,1250.0,1300.0,1300.0,1400.0,1300.0,1250.0,1150.0,1100.0,1225.0,1300.0,1150.0,1275.0,1250.0,1349.5,1450.0,1375.0,1275.0,1225.0,1250.0,1300.0,1350.0,1450.0,1450.0,1300.0,1400.0,1300.0,1300.0,1300.0,1400.0,1300.0,1250.0,1450.0,1272.5,1300.0,1300.0,1300.0,1250.0,1250.0,1400.0,1450.0,1425.0,1325.0,1400.0,1445.0,1450.0,1362.5,1300.0,1300.0,1300.0,1365.0,1380.0,1300.0,1400.0,1450.0,1302.6052631578948
