index,RegionName,State,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,mean
2,Houston,TX,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1235.0,1250.0,1250.0,1299.5,1350.0,1395.0,1400.0,1400.0,1420.0,1400.0,1411.0,1400.0,1425.0,1425.0,1445.0,1467.0,1500.0,1500.0,1550.0,1510.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1513.5,1550.0,1525.0,1495.0,1489.5,1450.0,1475.0,1450.0,1400.0,1437.0,1400.0,1450.0,1495.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1495.0,1480.0,1480.0,1475.0,1475.0,1500.0,1500.0,1550.0,1559.5,1575.0,1550.0,1545.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1544.0,1550.0,1550.0,1550.0,1550.0,1550.0,1500.0,1500.0,1500.0,1451.8533333333332
4,San Antonio,TX,Bexar County,5,,,,,,,,1200.0,1195.0,1197.0,1137.5,1200.0,1095.0,1100.0,1125.0,1150.0,1175.0,1195.0,1200.0,1200.0,1153.5,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1050.0,1050.0,1100.0,1125.0,1100.0,1095.0,1080.0,1095.0,1050.0,886.0,900.0,890.0,915.0,910.0,999.0,939.0,950.0,1000.0,1095.0,1075.0,1075.0,1075.0,1082.0,1100.0,1106.0,1100.0,1145.0,1157.0,1150.0,1125.0,1119.0,1100.0,1100.0,1100.0,1100.0,1125.0,1100.0,1133.0,1150.0,1145.0,1125.0,1100.0,1117.0,1125.0,1125.0,1145.0,1148.5,1115.0,1095.0,1082.0,1075.0,1095.0,1095.0,1065.0,1065.0,1095.5,1030.0,1165.0,1195.0,1200.0,1200.0,1227.5,1295.0,1275.0,1251.0,1250.0,1250.0,1245.0,1225.0,1250.0,1250.0,1250.0,1273.0,1295.0,1300.0,1300.0,1300.0,1289.0,1285.0,1295.0,1295.0,1295.0,1295.0,1300.0,1300.0,1325.0,1345.0,1349.0,1322.5,1299.0,1300.0,1299.0,1300.0,1142.6052631578948
9,Dallas,TX,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095.0,1150.0,1080.0,1000.0,1131.5,1134.5,1200.0,1195.0,1100.0,1124.0,1200.0,1190.0,1200.0,1250.0,1295.0,1235.0,1250.0,1250.0,1230.0,1300.0,1250.0,1250.0,1230.0,1250.0,1300.0,1300.0,1350.0,1349.5,1300.0,1300.0,1300.0,1300.0,1300.0,1325.0,1378.0,1400.0,1400.0,1400.0,1495.0,1495.0,1400.0,1400.0,1400.0,1400.0,1448.0,1475.0,1500.0,1495.0,1495.0,1471.0,1450.0,1450.0,1400.0,1450.0,1495.0,1450.0,1500.0,1550.0,1600.0,1600.0,1650.0,1700.0,1650.0,1650.0,1679.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1690.0,1650.0,1600.0,1600.0,1650.0,1650.0,1672.5,1650.0,1695.0,1750.0,1800.0,1795.0,1800.0,1795.0,1795.0,1750.0,1750.0,1700.0,1434.3333333333333
10,Austin,TX,Travis County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.0,990.0,1045.0,1090.0,1250.0,1125.0,1190.0,1250.0,1340.0,1350.0,1300.0,1296.0,1308.5,1395.0,1425.0,1390.0,1395.0,1437.0,1425.0,1400.0,1395.0,1350.0,1345.0,1350.0,1350.0,1350.0,1400.0,1450.0,1500.0,1525.0,1519.0,1525.0,1529.0,1550.0,1500.0,1500.0,1525.0,1500.0,1400.0,1350.0,1450.0,1450.0,1430.0,1389.0,1340.0,1350.0,1350.0,1500.0,1550.0,1600.0,1650.0,1650.0,1695.0,1695.0,1650.0,1650.0,1645.0,1600.0,1599.0,1600.0,1630.0,1650.0,1675.0,1695.0,1700.0,1700.0,1700.0,1695.0,1695.0,1675.0,1675.0,1695.0,1695.0,1700.0,1730.0,1750.0,1775.0,1795.0,1775.0,1750.0,1775.0,1770.0,1750.0,1484.446428571429
15,Charlotte,NC,Mecklenburg County,16,,995.0,995.0,995.0,995.0,1000.0,1000.0,995.0,995.0,990.0,995.0,975.0,950.0,950.0,950.0,985.0,1000.0,1000.0,1050.0,1000.0,1025.0,1000.0,995.0,995.0,1000.0,995.0,1000.0,1025.0,1050.0,1095.0,1100.0,1095.0,1075.0,1050.0,1050.0,1050.0,1050.0,1000.0,1025.0,1100.0,1147.0,1150.0,1125.0,1150.0,1125.0,1125.0,1100.0,1100.0,1077.5,1075.0,1095.0,1095.0,1120.0,1150.0,1150.0,1150.0,1150.0,1195.0,1194.0,1190.0,1195.0,1195.0,1200.0,1225.0,1250.0,1250.0,1250.0,1250.0,1250.0,1245.0,1225.0,1225.0,1250.0,1250.0,1250.0,1275.0,1275.0,1289.5,1295.0,1275.0,1295.0,1275.0,1295.0,1250.0,1300.0,1350.0,1395.0,1400.0,1400.0,1400.0,1425.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1415.0,1475.0,1450.0,1450.0,1450.0,1445.0,1447.0,1425.0,1425.0,1450.0,1454.0,1455.0,1495.0,1500.0,1500.0,1525.0,1530.0,1525.0,1500.0,1495.0,1500.0,1499.0,1201.5333333333333
16,Fort Worth,TX,Tarrant County,17,,,,,,,,,,,,,,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1225.0,1250.0,1200.0,1197.0,1200.0,1200.0,1200.0,1195.0,1195.0,1225.0,1200.0,1195.0,1195.0,1195.0,1200.0,1250.0,1280.0,1290.0,1250.0,1295.0,1290.0,1250.0,1295.0,1275.0,1265.0,1275.0,1289.0,1325.0,1350.0,1350.0,1350.0,1350.0,1300.0,1345.0,1350.0,1350.0,1350.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1400.0,1425.0,1449.5,1445.0,1425.0,1450.0,1450.0,1425.0,1425.0,1400.0,1400.0,1450.0,1450.0,1495.0,1500.0,1525.0,1550.0,1550.0,1550.0,1550.0,1525.0,1500.0,1500.0,1500.0,1525.0,1550.0,1595.0,1595.0,1595.0,1600.0,1600.0,1595.0,1575.0,1577.5,1595.0,1595.0,1595.0,1595.0,1600.0,1650.0,1650.0,1650.0,1650.0,1640.0,1600.0,1615.0,1600.0,1380.925925925926
19,Louisville,KY,Jefferson County,20,,,,,,,,,,,,,,850.0,825.0,825.0,750.0,765.0,900.0,899.5,899.0,850.0,799.0,800.0,750.0,795.0,795.0,795.0,795.0,775.0,775.0,800.0,795.0,799.0,849.5,800.0,800.0,795.0,800.0,800.0,800.0,795.0,795.0,800.0,850.0,875.0,810.0,875.0,800.0,800.0,825.0,825.0,900.0,900.0,900.0,900.0,900.0,895.0,899.0,895.0,900.0,899.0,950.0,950.0,950.0,950.0,995.0,950.0,950.0,925.0,900.0,900.0,950.0,950.0,950.0,950.0,950.0,975.0,995.0,959.5,995.0,975.0,978.5,997.5,995.0,999.0,1050.0,1100.0,1120.0,1150.0,1095.0,1100.0,1095.0,1075.0,1050.0,1045.0,1025.0,1095.0,1100.0,1195.0,1195.0,1195.0,1195.0,1150.0,1100.0,1099.0,1095.0,1095.0,1095.0,1100.0,1145.0,1195.0,1200.0,1200.0,1199.0,1195.0,1199.0,1150.0,1150.0,1125.0,945.8379629629628
21,El Paso,TX,El Paso County,22,,,,,,,,,,,,,,,,1300.0,1250.0,1200.0,1200.0,1195.0,1200.0,1200.0,1175.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1200.0,1195.0,1150.0,1100.0,1100.0,1095.0,1050.0,1025.0,1025.0,1050.0,1095.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1065.0,1100.0,1095.0,1095.0,1090.0,1095.0,1150.0,1150.0,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1125.0,1150.0,1150.0,1150.0,1150.0,1150.0,1125.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1125.0,1100.0,1095.0,1095.0,1075.0,1082.5,1095.0,1099.0,1100.0,1100.0,1150.0,1150.0,1125.0,1100.0,1100.0,1095.0,1075.0,1075.0,1075.0,1050.0,1100.0,1100.0,1100.0,1150.0,1150.0,1125.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1200.0,1200.0,1170.0,1150.0,1100.0,1125.0,1175.0,1113.8066037735848
25,Memphis,TN,Shelby County,26,,,,,,,,1100.0,1200.0,1150.0,1100.0,1100.0,950.0,975.0,925.0,950.0,950.0,950.0,925.0,950.0,962.5,947.5,875.0,895.0,895.0,895.0,900.0,895.0,895.0,895.0,875.0,850.0,850.0,850.0,895.0,875.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,875.0,875.0,850.0,850.0,850.0,877.5,895.0,850.0,850.0,850.0,875.0,875.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,875.0,850.0,850.0,850.0,875.0,850.0,850.0,875.0,895.0,895.0,875.0,900.0,915.0,895.0,885.0,897.0,875.0,895.0,895.0,875.0,875.0,875.0,895.0,875.0,875.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,865.0,895.0,900.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,875.0,875.0,895.0,915.0,925.0,949.0,950.0,937.5,925.0,925.0,925.0,942.5,886.4429824561404
29,Nashville,TN,Davidson County,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.0,1175.0,1200.0,1350.0,1350.0,1390.0,1395.0,1350.0,1350.0,1350.0,1395.0,1395.0,1400.0,1475.0,1495.0,1450.0,1495.0,1475.0,1475.0,1495.0,1450.0,1495.0,1500.0,1500.0,1575.0,1595.0,1550.0,1500.0,1500.0,1500.0,1500.0,1550.0,1550.0,1549.5,1595.0,1600.0,1595.0,1595.0,1575.0,1500.0,1500.0,1500.0,1575.0,1600.0,1650.0,1650.0,1695.0,1700.0,1675.0,1650.0,1600.0,1625.0,1600.0,1600.0,1600.0,1600.0,1600.0,1675.0,1695.0,1675.0,1700.0,1695.0,1667.5,1650.0,1637.5,1650.0,1650.0,1675.0,1652.5,1696.0,1700.0,1700.0,1700.0,1720.0,1700.0,1700.0,1700.0,1700.0,1534.3291139240507
31,Baltimore,MD,Baltimore City,32,,,1300.0,1300.0,1300.0,1395.0,1250.0,1295.0,1300.0,1350.0,1300.0,1300.0,1250.0,1200.0,1250.0,1250.0,1200.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1210.0,1250.0,1259.5,1250.0,1250.0,1250.0,1250.0,1250.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1299.0,1300.0,1300.0,1350.0,1375.0,1400.0,1400.0,1400.0,1385.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1395.0,1400.0,1400.0,1400.0,1350.0,1350.0,1300.0,1325.0,1350.0,1300.0,1300.0,1300.0,1350.0,1399.0,1395.0,1400.0,1400.0,1350.0,1350.0,1325.0,1300.0,1300.0,1300.0,1300.0,1325.0,1400.0,1400.0,1400.0,1400.0,1375.0,1350.0,1350.0,1300.0,1350.0,1347.0,1350.0,1350.0,1399.0,1400.0,1400.0,1400.0,1395.0,1350.0,1350.0,1350.0,1350.0,1291.4327731092435
36,Oklahoma City,OK,Oklahoma County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.0,895.0,850.0,881.0,949.0,800.0,850.0,900.0,850.0,850.0,950.0,995.0,925.0,995.0,950.0,925.0,925.0,950.0,1100.0,1120.0,1100.0,1100.0,1000.0,1050.0,1045.0,1095.0,1095.0,1100.0,1195.0,1195.0,1195.0,1175.0,1175.0,1147.5,1100.0,1000.0,1025.0,1050.0,1050.0,1095.0,1100.0,1100.0,1000.0,1095.0,1050.0,995.0,1049.0,975.0,990.0,950.0,950.0,950.0,995.0,1000.0,1050.0,1025.0,1000.0,1000.0,995.0,975.0,995.0,975.0,995.0,985.0,980.0,1000.0,995.0,1000.0,1000.0,995.0,977.0,995.0,995.0,990.0,995.0,1000.0,1025.0,1050.0,1050.0,1049.0,1095.0,1060.0,1050.0,1000.0,1025.0,1025.0,1002.580459770115
37,Raleigh,NC,Wake County,38,,1100.0,1100.0,1150.0,1195.0,1220.0,1195.0,1195.0,1150.0,1195.0,1195.0,1150.0,1100.0,1100.0,1125.0,1195.0,1195.0,1195.0,1195.0,1150.0,1125.0,1100.0,1095.0,1100.0,1150.0,1100.0,1150.0,1150.0,1195.0,1200.0,1195.0,1150.0,1150.0,1150.0,1150.0,1150.0,1100.0,1085.0,1100.0,1195.0,1200.0,1220.0,1200.0,1200.0,1210.0,1250.0,1200.0,1200.0,1199.5,1195.0,1195.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1225.0,1250.0,1250.0,1195.0,1200.0,1200.0,1195.0,1195.0,1300.0,1300.0,1200.0,1175.0,1195.0,1195.0,1195.0,1295.0,1300.0,1300.0,1295.0,1300.0,1325.0,1300.0,1295.0,1297.0,1347.0,1300.0,1350.0,1350.0,1350.0,1395.0,1399.5,1400.0,1395.0,1395.0,1395.0,1350.0,1380.0,1395.0,1395.0,1400.0,1400.0,1395.0,1395.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1450.0,1495.0,1495.0,1495.0,1495.0,1495.0,1495.0,1495.0,1495.0,1495.0,1255.1333333333334
