index,RegionName,State,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,mean
6,Phoenix,AZ,Maricopa County,7,,1300.0,1200.0,1200.0,1200.0,1100.0,1150.0,1195.0,1100.0,1100.0,1099.0,1099.0,1025.0,1025.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1025.0,1000.0,995.0,995.0,995.0,995.0,1000.0,1000.0,1000.0,1050.0,1050.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1100.0,1100.0,1125.0,1150.0,1130.0,1130.0,1125.0,1150.0,1150.0,1195.0,1197.5,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1200.0,1195.0,1200.0,1215.0,1225.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1225.0,1250.0,1295.0,1300.0,1325.0,1325.0,1325.0,1300.0,1300.0,1299.0,1295.0,1300.0,1300.0,1300.0,1350.0,1350.0,1395.0,1395.0,1400.0,1400.0,1399.0,1395.0,1399.0,1400.0,1400.0,1400.0,1425.0,1450.0,1495.0,1495.0,1495.0,1500.0,1495.0,1460.0,1450.0,1450.0,1175.4875
7,Las Vegas,NV,Clark County,8,,1295.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1250.0,1212.5,1200.0,1150.0,1195.0,1150.0,1100.0,1150.0,1195.0,1165.0,1150.0,1150.0,1150.0,1145.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1095.0,1095.0,1095.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1150.0,1175.0,1175.0,1195.0,1195.0,1195.0,1195.0,1195.0,1198.0,1200.0,1200.0,1200.0,1225.0,1200.0,1200.0,1237.5,1245.0,1225.0,1225.0,1245.0,1225.0,1250.0,1250.0,1250.0,1250.0,1250.0,1275.0,1200.0,1200.0,1200.0,1250.0,1275.0,1200.0,1250.0,1295.0,1300.0,1330.0,1325.0,1350.0,1350.0,1350.0,1350.0,1325.0,1340.0,1350.0,1350.0,1350.0,1390.0,1400.0,1400.0,1400.0,1445.0,1425.0,1450.0,1475.0,1450.0,1455.0,1465.0,1495.0,1499.0,1500.0,1500.0,1500.0,1500.0,1515.0,1500.0,1500.0,1500.0,1500.0,1233.875
17,Tucson,AZ,Pima County,18,,,1100.0,1095.0,1075.0,1077.5,1095.0,1150.0,1095.0,1050.0,1095.0,1095.0,1025.0,1000.0,1050.0,1071.0,1095.0,1050.0,1050.0,1050.0,1050.0,1000.0,995.0,995.0,1000.0,995.0,1000.0,1050.0,1025.0,1050.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,995.0,995.0,995.0,995.0,1000.0,1000.0,1000.0,995.0,1000.0,999.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1050.0,1050.0,1050.0,1050.0,1025.0,1000.0,1000.0,1000.0,1000.0,1000.0,1025.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1100.0,1100.0,1100.0,1050.0,1095.0,1095.0,1070.0,1025.0,1067.5,1050.0,1050.0,1050.0,1100.0,1150.0,1200.0,1200.0,1195.0,1195.0,1150.0,1125.0,1100.0,1150.0,1150.0,1195.0,1200.0,1200.0,1200.0,1250.0,1250.0,1200.0,1200.0,1200.0,1195.0,1200.0,1200.0,1225.0,1250.0,1250.0,1295.0,1295.0,1300.0,1295.0,1295.0,1250.0,1250.0,1275.0,1285.0,1080.5336134453785
23,Denver,CO,Denver County,24,,,,,,,,,,1100.0,1275.0,1275.0,1300.0,1350.0,1400.0,1350.0,1325.0,1295.0,1350.0,1350.0,1400.0,1400.0,1345.0,1300.0,1300.0,1300.0,1350.0,1400.0,1450.0,1450.0,1495.0,1495.0,1450.0,1400.0,1391.0,1400.0,1495.0,1500.0,1550.0,1600.0,1445.0,1495.0,1595.0,1432.0,1500.0,1692.5,1700.0,1750.0,1650.0,1650.0,1625.0,1650.0,1750.0,1800.0,1800.0,1800.0,1850.0,1895.0,1900.0,1895.0,1850.0,1995.0,1900.0,1900.0,1982.5,1995.0,2000.0,2095.0,2000.0,1950.0,1945.0,1950.0,1995.0,1975.0,1995.0,1995.0,1995.0,1995.0,1975.0,1975.0,1950.0,1900.0,1850.0,1900.0,1895.0,1950.0,1950.0,2000.0,2000.0,2000.0,2000.0,1995.0,1995.0,1995.0,1995.0,1995.0,2000.0,2095.0,2100.0,2175.0,2192.5,2100.0,2100.0,2100.0,2095.0,2000.0,2000.0,2000.0,2100.0,2100.0,2150.0,2200.0,2200.0,2200.0,2200.0,2195.0,2200.0,2200.0,2150.0,2150.0,1772.986607142857
24,Seattle,WA,King County,25,,,,,,,,,,,,,,,1600.0,1650.0,1795.0,1795.0,1797.5,1795.0,1800.0,1700.0,1550.0,1500.0,1495.0,1495.0,1550.0,1595.0,1650.0,1695.0,1735.0,1745.0,1750.0,1700.0,1727.0,1600.0,1600.0,1650.0,1600.0,1600.0,1630.0,1695.0,1650.0,1650.0,1795.0,1950.0,1950.0,1950.0,1950.0,1900.0,1950.0,1975.0,2000.0,2000.0,2100.0,2200.0,2200.0,2150.0,2100.0,2000.0,2080.0,2000.0,2100.0,2250.0,2220.0,2350.0,2450.0,2400.0,2350.0,2295.0,2285.0,2299.5,2350.0,2385.0,2395.0,2400.0,2400.0,2495.0,2495.0,2500.0,2495.0,2485.0,2400.0,2350.0,2495.0,2450.0,2500.0,2600.0,2600.0,2600.0,2650.0,2600.0,2549.0,2500.0,2495.0,2499.0,2495.0,2495.0,2500.0,2650.0,2695.0,2700.0,2750.0,2700.0,2600.0,2595.0,2500.0,2500.0,2600.0,2575.0,2647.5,2700.0,2790.0,2800.0,2795.0,2800.0,2700.0,2650.0,2675.0,2600.0,2170.7429906542056
28,Portland,OR,Multnomah County,29,,,,,,,,,,,,1250.0,1412.5,1395.0,1300.0,1395.0,1395.0,1395.0,1400.0,1395.0,1450.0,1440.0,1395.0,1375.0,1299.5,1300.0,1395.0,1425.0,1400.0,1395.0,1395.0,1450.0,1370.0,1450.0,1395.0,1350.0,1350.0,1350.0,1325.0,1350.0,1395.0,1425.0,1400.0,1450.0,1450.0,1495.0,1495.0,1495.0,1495.0,1495.0,1450.0,1495.0,1550.0,1550.0,1595.0,1650.0,1650.0,1685.0,1695.0,1595.0,1595.0,1600.0,1650.0,1700.0,1695.0,1695.0,1795.0,1800.0,1850.0,1895.0,1800.0,1795.0,1795.0,1800.0,1850.0,1900.0,1850.0,1850.0,1860.0,1850.0,1850.0,1800.0,1850.0,1790.0,1800.0,1850.0,1895.0,1897.5,1995.0,2000.0,1995.0,1995.0,1950.0,1925.0,1900.0,1950.0,1900.0,1895.0,1900.0,1900.0,1995.0,1999.0,1999.0,2000.0,1995.0,1950.0,1945.0,1975.0,1950.0,1950.0,1975.0,1995.0,2050.0,2037.5,2000.0,2095.0,2000.0,1999.0,1995.0,1995.0,1673.6181818181817
35,Albuquerque,NM,Bernalillo County,36,,,,,,,,,,,,,1150.0,1190.0,1200.0,1200.0,1200.0,1195.0,1200.0,1175.0,1150.0,1150.0,1100.0,1100.0,1100.0,1095.0,1100.0,1050.0,1050.0,1100.0,1100.0,1100.0,1100.0,1095.0,1075.0,1050.0,1050.0,1050.0,1000.0,1050.0,1100.0,1100.0,1100.0,1137.5,1150.0,1150.0,1100.0,1150.0,1125.0,1125.0,1100.0,1100.0,1150.0,1195.0,1175.0,1175.0,1175.0,1180.0,1150.0,1150.0,1150.0,1150.0,1175.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1199.5,1190.0,1195.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1200.0,1200.0,1212.5,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1245.0,1250.0,1225.0,1250.0,1250.0,1250.0,1295.0,1295.0,1300.0,1295.0,1295.0,1275.0,1250.0,1250.0,1295.0,1295.0,1299.0,1325.0,1350.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1178.4357798165138
38,Mesa,AZ,Maricopa County,39,,,1200.0,1195.0,1200.0,1000.0,1050.0,1095.0,1100.0,1000.0,1000.0,1050.0,997.0,999.0,1025.0,1050.0,1050.0,1050.0,1050.0,999.0,1000.0,995.0,995.0,995.0,1000.0,995.0,995.0,995.0,995.0,1000.0,995.0,999.5,1000.0,1025.0,1000.0,1025.0,1025.0,1025.0,1008.0,1025.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1095.0,1095.0,1090.0,1095.0,1095.0,1095.0,1125.0,1100.0,1100.0,1100.0,1125.0,1125.0,1125.0,1150.0,1150.0,1185.0,1175.0,1195.0,1195.0,1195.0,1175.0,1150.0,1150.0,1185.0,1170.0,1195.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1225.0,1200.0,1200.0,1250.0,1200.0,1195.0,1212.0,1250.0,1250.0,1275.0,1275.0,1295.0,1295.0,1325.0,1300.0,1300.0,1295.0,1295.0,1300.0,1325.0,1350.0,1350.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1395.0,1350.0,1395.0,1400.0,1450.0,1475.0,1495.0,1500.0,1500.0,1500.0,1500.0,1495.0,1495.0,1475.0,1169.5672268907565
42,Colorado Springs,CO,El Paso County,43,,,,,,,,,,,,,,1095.0,1150.0,1195.0,1200.0,1225.0,1195.0,1195.0,1195.0,1150.0,1125.0,1145.0,1140.0,1100.0,1150.0,1150.0,1150.0,1195.0,1200.0,1195.0,1150.0,1150.0,1175.0,1175.0,1175.0,1150.0,1175.0,1195.0,1195.0,1200.0,1200.0,1200.0,1200.0,1225.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1300.0,1295.0,1300.0,1300.0,1300.0,1295.0,1295.0,1295.0,1275.0,1295.0,1295.0,1300.0,1325.0,1325.0,1340.0,1350.0,1325.0,1350.0,1300.0,1350.0,1325.0,1350.0,1395.0,1400.0,1400.0,1450.0,1495.0,1475.0,1495.0,1495.0,1450.0,1450.0,1495.0,1487.5,1495.0,1500.0,1500.0,1527.5,1550.0,1549.5,1500.0,1500.0,1500.0,1500.0,1500.0,1545.0,1500.0,1500.0,1585.0,1600.0,1625.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1311.6435185185185
56,Aurora,CO,Arapahoe County,57,,,,,,,,,,,,1275.0,1150.0,1100.0,1100.0,1100.0,1097.0,1185.0,1195.0,1195.0,1100.0,1147.5,1150.0,1100.0,1145.0,1150.0,1125.0,1195.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1150.0,1150.0,1195.0,1150.0,1200.0,1200.0,1200.0,1295.0,1295.0,1295.0,1350.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1395.0,1399.0,1400.0,1400.0,1475.0,1450.0,1495.0,1525.0,1587.0,1600.0,1600.0,1659.0,1679.5,1600.0,1664.0,1650.0,1669.0,1695.0,1675.0,1650.0,1675.0,1650.0,1650.0,1615.0,1650.0,1637.5,1645.0,1650.0,1650.0,1600.0,1600.0,1595.0,1650.0,1695.0,1725.0,1750.0,1797.5,1795.0,1795.0,1750.0,1700.0,1745.0,1700.0,1700.0,1700.0,1700.0,1755.0,1840.0,1822.5,1850.0,1850.0,1850.0,1850.0,1850.0,1800.0,1800.0,1850.0,1882.5,1850.0,1895.0,1901.0,1950.0,1950.0,1895.0,1900.0,1900.0,1900.0,1975.0,1503.7727272727273
