state,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
ILLINOIS,144795.0,15001.0,5430.0,8537.0,1034.0,5116.0,1760.0,2942.0,414.0,32.0,30.0,2.0,0.0,0.0,0.0,0.0,115.0,167.0,89.0,10.0,3.0,59.0,0.0,6.0,60.0,0.0,761.0,114.0,3066.0,2.0,3.0,714.0,160.0,201.0,68.0,0.0,0.0,284.0,1.0,3090.0,2.0,0.0,778.0,24.0,0.0,496.0,239.0,1551.0,404.0,240.0,83.0,1.0,481.0,407.0,74.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,1.0,5.0,0.0,517.0
INDIANA,1942576.0,157157.0,42922.0,86287.0,28970.0,38721.0,9739.0,22246.0,6736.0,388.0,322.0,37.0,29.0,33.0,25.0,8.0,984.0,2796.0,1017.0,157.0,43.0,1491.0,14.0,74.0,507.0,9.0,9412.0,1465.0,8217.0,286.0,78.0,11362.0,5475.0,2191.0,497.0,60.0,860.0,2222.0,57.0,43347.0,246.0,173.0,6637.0,4788.0,80.0,10144.0,3303.0,17976.0,9020.0,2885.0,1140.0,306.0,23870.0,16816.0,7054.0,247.0,40.0,179.0,27.0,1.0,597.0,53.0,36.0,8.0,9.0,3897.0
IOWA,2035794.0,130550.0,30180.0,79561.0,23935.0,27845.0,6883.0,16834.0,4229.0,123.0,110.0,2.0,11.0,0.0,0.0,0.0,217.0,2011.0,901.0,185.0,141.0,681.0,21.0,82.0,415.0,58.0,10403.0,3114.0,17655.0,163.0,130.0,7082.0,2987.0,2365.0,1177.0,66.0,487.0,0.0,0.0,35343.0,303.0,41.0,8115.0,4740.0,97.0,6788.0,2309.0,12950.0,6114.0,926.0,702.0,0.0,21105.0,12894.0,8211.0,3.0,2.0,0.0,1.0,0.0,388.0,30.0,25.0,5.0,0.0,2409.0
KANSAS,1247919.0,85470.0,23761.0,46368.0,22162.0,21577.0,4059.0,13527.0,3991.0,47.0,41.0,5.0,1.0,0.0,0.0,0.0,856.0,1281.0,479.0,170.0,0.0,583.0,2.0,47.0,287.0,6.0,3621.0,1802.0,14191.0,101.0,138.0,7577.0,5719.0,1786.0,70.0,2.0,0.0,0.0,0.0,22118.0,96.0,50.0,4052.0,2568.0,39.0,6286.0,1424.0,7603.0,3376.0,321.0,1228.0,1.0,20418.0,11262.0,9156.0,1.0,1.0,0.0,0.0,0.0,227.0,55.0,9.0,46.0,0.0,1460.0
MICHIGAN,6937365.0,423874.0,152516.0,229466.0,42353.0,140623.0,35653.0,88551.0,16419.0,845.0,748.0,78.0,19.0,49.0,44.0,5.0,814.0,10185.0,3879.0,1487.0,497.0,4272.0,12.0,38.0,1746.0,11.0,21695.0,2974.0,46710.0,1661.0,510.0,35713.0,16106.0,6699.0,3893.0,248.0,1300.0,7275.0,192.0,91895.0,260.0,320.0,22433.0,11131.0,95.0,19266.0,6040.0,32350.0,17862.0,4390.0,4600.0,473.0,24604.0,20210.0,4394.0,23.0,12.0,9.0,2.0,0.0,1063.0,507.0,443.0,58.0,6.0,15683.0
MINNESOTA,2007594.0,130373.0,24900.0,89862.0,15611.0,22124.0,5680.0,12072.0,4372.0,153.0,127.0,26.0,0.0,39.0,28.0,11.0,376.0,2208.0,897.0,151.0,67.0,1092.0,0.0,1.0,357.0,5.0,8989.0,2095.0,17010.0,84.0,105.0,9418.0,2753.0,2961.0,848.0,79.0,170.0,2550.0,57.0,39013.0,266.0,387.0,7003.0,3105.0,37.0,10654.0,4145.0,13416.0,8156.0,2545.0,2085.0,195.0,12011.0,8341.0,3670.0,3.0,3.0,0.0,0.0,0.0,343.0,13.0,5.0,1.0,7.0,3046.0
MISSOURI,1948766.0,211811.0,49525.0,125444.0,36842.0,46288.0,14317.0,28408.0,3563.0,370.0,338.0,29.0,3.0,31.0,30.0,1.0,405.0,2431.0,940.0,638.0,87.0,583.0,31.0,152.0,570.0,3.0,11408.0,2744.0,21560.0,461.0,64.0,10199.0,3691.0,3440.0,348.0,40.0,648.0,1988.0,44.0,60431.0,272.0,115.0,12860.0,6981.0,111.0,16238.0,8109.0,15745.0,13421.0,2618.0,1965.0,149.0,32133.0,18982.0,13151.0,20.0,0.0,5.0,15.0,0.0,428.0,92.0,50.0,21.0,21.0,4020.0
NEBRASKA,345759.0,27204.0,6551.0,14613.0,6040.0,5811.0,826.0,3987.0,998.0,12.0,10.0,2.0,0.0,1.0,0.0,1.0,97.0,630.0,246.0,21.0,47.0,281.0,11.0,24.0,65.0,8.0,1038.0,459.0,4103.0,71.0,64.0,1787.0,861.0,426.0,295.0,8.0,65.0,125.0,7.0,5921.0,28.0,5.0,1385.0,740.0,47.0,1113.0,273.0,2330.0,752.0,75.0,270.0,39.0,5363.0,3227.0,2136.0,0.0,0.0,0.0,0.0,0.0,127.0,17.0,4.0,3.0,10.0,494.0
NORTH DAKOTA,555616.0,49231.0,10745.0,25514.0,12972.0,9600.0,1365.0,6159.0,2076.0,33.0,28.0,4.0,1.0,11.0,9.0,2.0,135.0,966.0,309.0,49.0,10.0,527.0,4.0,67.0,86.0,0.0,2820.0,711.0,4516.0,114.0,45.0,3609.0,1161.0,358.0,513.0,22.0,113.0,1394.0,48.0,11001.0,16.0,8.0,2396.0,830.0,27.0,1753.0,366.0,5605.0,1818.0,144.0,650.0,88.0,12017.0,6076.0,5941.0,6.0,0.0,5.0,1.0,0.0,191.0,34.0,5.0,12.0,17.0,636.0
OHIO,6267855.0,334496.0,143338.0,185256.0,57579.0,133983.0,19173.0,73260.0,41550.0,736.0,733.0,3.0,0.0,16.0,14.0,2.0,1840.0,6763.0,3681.0,331.0,0.0,2558.0,27.0,166.0,797.0,9.0,29196.0,2175.0,59447.0,111.0,370.0,17983.0,3012.0,2725.0,124.0,42.0,55.0,11984.0,41.0,124147.0,553.0,512.0,22465.0,10469.0,151.0,27153.0,4657.0,58187.0,16565.0,6786.0,3693.0,217.0,44408.0,28013.0,16395.0,3.0,0.0,3.0,0.0,0.0,1166.0,401.0,44.0,356.0,1.0,11384.0
SOUTH DAKOTA,545627.0,53903.0,13400.0,26770.0,13733.0,12047.0,2466.0,7904.0,1677.0,52.0,37.0,13.0,2.0,2.0,2.0,0.0,171.0,1128.0,496.0,32.0,5.0,432.0,15.0,148.0,88.0,0.0,2624.0,824.0,4867.0,226.0,36.0,2320.0,616.0,190.0,1122.0,2.0,26.0,359.0,5.0,12981.0,26.0,22.0,2767.0,820.0,47.0,2400.0,415.0,6484.0,2119.0,244.0,441.0,21.0,12714.0,7925.0,4789.0,11.0,0.0,2.0,9.0,0.0,232.0,33.0,15.0,17.0,1.0,722.0
WISCONSIN,3236015.0,208503.0,43825.0,116342.0,48336.0,38667.0,12327.0,20808.0,5532.0,402.0,286.0,89.0,27.0,85.0,82.0,3.0,932.0,3739.0,1238.0,352.0,133.0,1521.0,18.0,477.0,540.0,8.0,10312.0,1837.0,23357.0,523.0,239.0,12665.0,4637.0,2695.0,1487.0,44.0,535.0,3185.0,82.0,54194.0,232.0,149.0,16392.0,5362.0,131.0,10951.0,3446.0,17531.0,8503.0,2914.0,1250.0,239.0,36796.0,21831.0,14965.0,3.0,2.0,0.0,1.0,0.0,1403.0,212.0,174.0,30.0,8.0,9683.0
