index,list,sum
1,population_1,27215681.0
2,total_offenses,1827573.0
3,crimes_against_persons,547093.0
4,crimes_against_property,1034020.0
5,crimes_against_society,309567.0
6,assault_offenses,502402.0
7,aggravated_assault,114248.0
8,simple_assault,296698.0
9,intimidation,91557.0
10,homicide_offenses,3193.0
11,murder_and_nonnegligent_manslaughter,2810.0
12,negligent_man_slaughter,290.0
13,justifiable_homicide,93.0
14,human_trafficking_offenses,267.0
15,commercial_sex_acts,234.0
16,involuntary_servitude,33.0
17,kidnapping_abduction,6942.0
18,sex_offenses,34305.0
19,rape,14172.0
20,sodomy,3583.0
21,sexual_assault_with_an_object,1033.0
22,fondling,14080.0
23,incest,155.0
24,statutory_rape,1282.0
25,arson,5518.0
26,bribery,117.0
27,burglary_breaking_&_entering,112279.0
28,counter_feiting_forgery,20314.0
29,destruction_damage_vandalism_of_property,224699.0
30,embezzle_ment,3803.0
31,extortion_blackmail,1782.0
32,fraud_offenses,120429.0
33,false_pretenses_swindle_confidence_game,47178.0
34,credit_card_automated_teller_machine_fraud,26037.0
35,imper_sonation,10442.0
36,welfare_fraud,613.0
37,wire_fraud,4259.0
38,identity_theft,31366.0
39,hacking_computer_invasion,534.0
40,larceny_theft_offenses,503481.0
41,pocket_picking,2300.0
42,purse_snatching,1782.0
43,shop_lifting,107283.0
44,theft_from_building,51558.0
45,theft_from_coin_op_erated_machine_or_device,862.0
46,theft_from_motor_vehicle,113242.0
47,theft_of_motor_vehicle_parts_or_acces_sories,34726.0
48,all_other_larceny,191728.0
49,motor_vehicle_theft,88110.0
50,robbery,24088.0
51,stolen_property_offenses,18107.0
52,animal_cruelty,1729.0
53,drug_narcotic_offenses,245920.0
54,drug_narcotic_violations,155984.0
55,drug_equipment_violations,89936.0
56,gambling_offenses,320.0
57,betting_wagering,60.0
58,operating_promoting_assisting_gambling,203.0
59,gambling_equipment_violations,56.0
60,sports_tampering,1.0
61,por_nography_obscene_material,6194.0
62,pros_titution_offenses,1453.0
63,pros_titution,811.0
64,assisting_or_promoting_prostitution,562.0
65,purchasing_prostitution,80.0
66,weapon_law_violations,53951.0
