index,list,sum
1,population_1,13730344.0
2,total_offenses,526757.0
3,crimes_against_persons,141536.0
4,crimes_against_property,345829.0
5,crimes_against_society,42185.0
6,assault_offenses,131394.0
7,aggravated_assault,24007.0
8,simple_assault,76943.0
9,intimidation,30444.0
10,homicide_offenses,406.0
11,murder_and_nonnegligent_manslaughter,355.0
12,negligent_man_slaughter,45.0
13,justifiable_homicide,6.0
14,human_trafficking_offenses,52.0
15,commercial_sex_acts,43.0
16,involuntary_servitude,9.0
17,kidnapping_abduction,1249.0
18,sex_offenses,8435.0
19,rape,3272.0
20,sodomy,577.0
21,sexual_assault_with_an_object,167.0
22,fondling,3412.0
23,incest,105.0
24,statutory_rape,902.0
25,arson,1115.0
26,bribery,22.0
27,burglary_breaking_&_entering,22933.0
28,counter_feiting_forgery,6119.0
29,destruction_damage_vandalism_of_property,70900.0
30,embezzle_ment,931.0
31,extortion_blackmail,969.0
32,fraud_offenses,74976.0
33,false_pretenses_swindle_confidence_game,21767.0
34,credit_card_automated_teller_machine_fraud,8446.0
35,imper_sonation,24956.0
36,welfare_fraud,3950.0
37,wire_fraud,2132.0
38,identity_theft,13310.0
39,hacking_computer_invasion,415.0
40,larceny_theft_offenses,143506.0
41,pocket_picking,693.0
42,purse_snatching,511.0
43,shop_lifting,31398.0
44,theft_from_building,16895.0
45,theft_from_coin_op_erated_machine_or_device,77.0
46,theft_from_motor_vehicle,31730.0
47,theft_of_motor_vehicle_parts_or_acces_sories,7211.0
48,all_other_larceny,54991.0
49,motor_vehicle_theft,18069.0
50,robbery,5903.0
51,stolen_property_offenses,4791.0
52,animal_cruelty,482.0
53,drug_narcotic_offenses,31114.0
54,drug_narcotic_violations,27981.0
55,drug_equipment_violations,3133.0
56,gambling_offenses,89.0
57,betting_wagering,7.0
58,operating_promoting_assisting_gambling,68.0
59,gambling_equipment_violations,14.0
60,sports_tampering,0.0
61,por_nography_obscene_material,2554.0
62,pros_titution_offenses,352.0
63,pros_titution,261.0
64,assisting_or_promoting_prostitution,79.0
65,purchasing_prostitution,12.0
66,weapon_law_violations,7594.0
