state,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
ARKANSAS,1844146.0,232969.0,63287.0,134423.0,35259.0,59579.0,15561.0,25016.0,19002.0,338.0,308.0,21.0,9.0,2.0,1.0,1.0,664.0,2704.0,1482.0,532.0,89.0,523.0,18.0,60.0,550.0,1.0,14817.0,3843.0,25839.0,77.0,47.0,23404.0,9558.0,4421.0,8011.0,91.0,90.0,1229.0,4.0,54641.0,60.0,85.0,7414.0,4544.0,110.0,9974.0,2117.0,30337.0,7313.0,1430.0,2461.0,11.0,31440.0,18465.0,12975.0,17.0,3.0,11.0,3.0,0.0,383.0,47.0,39.0,7.0,1.0,3361.0
DELAWARE,298909.0,66230.0,16131.0,37194.0,12905.0,15235.0,3324.0,9352.0,2559.0,86.0,72.0,11.0,3.0,6.0,4.0,2.0,215.0,589.0,193.0,62.0,20.0,295.0,1.0,18.0,129.0,1.0,2570.0,427.0,9078.0,150.0,74.0,6080.0,1689.0,1032.0,695.0,0.0,538.0,2090.0,36.0,15831.0,35.0,28.0,4658.0,3369.0,26.0,4334.0,979.0,2402.0,1596.0,705.0,553.0,1154.0,9407.0,6677.0,2730.0,31.0,27.0,2.0,1.0,1.0,104.0,41.0,22.0,3.0,16.0,2168.0
GEORGIA,2546081.0,284980.0,80969.0,169319.0,34692.0,73662.0,16094.0,42161.0,15407.0,397.0,372.0,13.0,12.0,179.0,154.0,25.0,1558.0,5173.0,1185.0,631.0,214.0,2800.0,34.0,309.0,530.0,8.0,15591.0,4948.0,29217.0,255.0,220.0,23241.0,11943.0,4603.0,3609.0,6.0,156.0,2805.0,119.0,79601.0,1132.0,196.0,14552.0,4175.0,72.0,21375.0,2523.0,35576.0,10660.0,2715.0,2333.0,849.0,28514.0,24374.0,4140.0,26.0,9.0,6.0,11.0,0.0,1048.0,191.0,116.0,67.0,8.0,4064.0
KENTUCKY,1831363.0,158548.0,34343.0,85688.0,40107.0,30976.0,2899.0,16146.0,11931.0,196.0,158.0,35.0,3.0,14.0,12.0,2.0,959.0,2664.0,862.0,472.0,0.0,1219.0,10.0,101.0,300.0,50.0,10221.0,2077.0,15393.0,1188.0,61.0,5164.0,606.0,2374.0,102.0,0.0,0.0,1923.0,159.0,39737.0,28.0,74.0,9208.0,843.0,19.0,7229.0,857.0,21479.0,7193.0,1145.0,3159.0,169.0,37070.0,23775.0,13295.0,13.0,0.0,12.0,1.0,0.0,542.0,68.0,43.0,25.0,0.0,2245.0
LOUISIANA,156619.0,65819.0,17980.0,35795.0,12044.0,17080.0,5270.0,9286.0,2524.0,98.0,95.0,3.0,0.0,1.0,1.0,0.0,182.0,619.0,219.0,52.0,46.0,239.0,4.0,59.0,56.0,1.0,4889.0,604.0,7596.0,127.0,51.0,1381.0,203.0,182.0,968.0,0.0,28.0,0.0,0.0,18080.0,3.0,8.0,2030.0,654.0,10.0,2629.0,89.0,12657.0,1947.0,361.0,702.0,2.0,10069.0,7274.0,2795.0,3.0,3.0,0.0,0.0,0.0,237.0,79.0,58.0,21.0,0.0,1654.0
MARYLAND,59008.0,30334.0,5125.0,22846.0,2363.0,4591.0,789.0,3743.0,59.0,20.0,18.0,0.0,2.0,3.0,3.0,0.0,7.0,504.0,192.0,85.0,62.0,158.0,0.0,7.0,9.0,0.0,1301.0,496.0,3165.0,63.0,100.0,3824.0,1314.0,931.0,49.0,0.0,45.0,1442.0,43.0,12335.0,80.0,64.0,2412.0,1500.0,13.0,4862.0,1136.0,2268.0,1109.0,431.0,13.0,0.0,1996.0,1824.0,172.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,14.0,1.0,8.0,274.0
MISSISSIPPI,575244.0,54070.0,13720.0,30345.0,11693.0,13038.0,1332.0,10134.0,2188.0,77.0,55.0,18.0,4.0,0.0,0.0,0.0,62.0,568.0,297.0,19.0,29.0,181.0,1.0,41.0,117.0,7.0,3860.0,586.0,4826.0,387.0,26.0,3108.0,1100.0,1028.0,407.0,4.0,54.0,509.0,6.0,15011.0,5.0,9.0,3885.0,163.0,45.0,3127.0,155.0,7622.0,1816.0,310.0,481.0,187.0,10165.0,6859.0,3306.0,7.0,6.0,0.0,1.0,0.0,105.0,15.0,10.0,4.0,1.0,1214.0
NORTH CAROLINA,5226511.0,531141.0,121553.0,314157.0,95431.0,113701.0,28359.0,68115.0,17227.0,774.0,710.0,47.0,17.0,51.0,20.0,31.0,1804.0,5223.0,1826.0,358.0,212.0,2310.0,100.0,417.0,1338.0,10.0,37539.0,4805.0,54624.0,1645.0,608.0,36828.0,19090.0,9367.0,2213.0,97.0,1715.0,4159.0,187.0,148614.0,293.0,532.0,32941.0,11720.0,358.0,37932.0,8672.0,56166.0,16805.0,6341.0,5000.0,444.0,80792.0,53232.0,27560.0,91.0,20.0,41.0,30.0,0.0,1489.0,287.0,155.0,116.0,16.0,12328.0
OKLAHOMA,1938408.0,154675.0,35821.0,99471.0,19383.0,32557.0,7371.0,18229.0,6957.0,201.0,151.0,48.0,2.0,12.0,10.0,2.0,444.0,2607.0,927.0,237.0,131.0,1142.0,49.0,121.0,526.0,9.0,13681.0,2072.0,15259.0,1239.0,245.0,14487.0,4082.0,2914.0,4102.0,246.0,515.0,2554.0,74.0,40378.0,82.0,91.0,8639.0,3932.0,150.0,10960.0,1915.0,14609.0,8422.0,1186.0,1967.0,100.0,15607.0,10418.0,5189.0,1.0,0.0,0.0,1.0,0.0,503.0,72.0,52.0,16.0,4.0,3100.0
SOUTH CAROLINA,1651133.0,318311.0,83147.0,184393.0,50771.0,78461.0,18724.0,48877.0,10860.0,499.0,462.0,14.0,23.0,22.0,16.0,6.0,934.0,3231.0,1370.0,314.0,170.0,1177.0,19.0,181.0,627.0,4.0,18837.0,4058.0,30812.0,757.0,175.0,18053.0,8766.0,5180.0,1166.0,33.0,1087.0,1736.0,85.0,91873.0,58.0,81.0,20888.0,5181.0,248.0,24284.0,8249.0,32884.0,12475.0,2825.0,3897.0,295.0,41739.0,33963.0,7776.0,37.0,6.0,23.0,8.0,0.0,668.0,163.0,127.0,24.0,12.0,7869.0
