index,list,sum
1,population_1,40857091.0
2,total_offenses,3926047.0
3,crimes_against_persons,1058313.0
4,crimes_against_property,2277028.0
5,crimes_against_society,632784.0
6,assault_offenses,989607.0
7,aggravated_assault,219710.0
8,simple_assault,590601.0
9,intimidation,179941.0
10,homicide_offenses,5773.0
11,murder_and_nonnegligent_manslaughter,5170.0
12,negligent_man_slaughter,435.0
13,justifiable_homicide,168.0
14,human_trafficking_offenses,832.0
15,commercial_sex_acts,677.0
16,involuntary_servitude,155.0
17,kidnapping_abduction,13164.0
18,sex_offenses,49428.0
19,rape,19831.0
20,sodomy,5451.0
21,sexual_assault_with_an_object,2364.0
22,fondling,18870.0
23,incest,393.0
24,statutory_rape,2519.0
25,arson,7938.0
26,bribery,216.0
27,burglary_breaking_&_entering,238967.0
28,counter_feiting_forgery,49607.0
29,destruction_damage_vandalism_of_property,423388.0
30,embezzle_ment,11332.0
31,extortion_blackmail,3540.0
32,fraud_offenses,261127.0
33,false_pretenses_swindle_confidence_game,107550.0
34,credit_card_automated_teller_machine_fraud,67018.0
35,imper_sonation,37831.0
36,welfare_fraud,1162.0
37,wire_fraud,9878.0
38,identity_theft,36055.0
39,hacking_computer_invasion,1633.0
40,larceny_theft_offenses,1109419.0
41,pocket_picking,3671.0
42,purse_snatching,2519.0
43,shop_lifting,230946.0
44,theft_from_building,76695.0
45,theft_from_coin_op_erated_machine_or_device,2660.0
46,theft_from_motor_vehicle,308538.0
47,theft_of_motor_vehicle_parts_or_acces_sories,70772.0
48,all_other_larceny,413618.0
49,motor_vehicle_theft,167201.0
50,robbery,48499.0
51,stolen_property_offenses,28098.0
52,animal_cruelty,6801.0
53,drug_narcotic_offenses,525011.0
54,drug_narcotic_violations,374673.0
55,drug_equipment_violations,150338.0
56,gambling_offenses,626.0
57,betting_wagering,208.0
58,operating_promoting_assisting_gambling,243.0
59,gambling_equipment_violations,167.0
60,sports_tampering,8.0
61,por_nography_obscene_material,11478.0
62,pros_titution_offenses,3520.0
63,pros_titution,2296.0
64,assisting_or_promoting_prostitution,672.0
65,purchasing_prostitution,552.0
66,weapon_law_violations,85348.0
