index,state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
0,ARIZONA,Cities,Apache Junction,43385.0,2169.0,449.0,1123.0,597.0,398.0,71.0,259.0,68.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,35.0,8.0,0.0,2.0,24.0,0.0,1.0,6.0,0.0,125.0,28.0,155.0,2.0,1.0,121.0,53.0,27.0,41.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,132.0,50.0,4.0,143.0,21.0,213.0,88.0,10.0,24.0,9.0,527.0,289.0,238.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,55.0
1,ARIZONA,Cities,Casa Grande,59822.0,3841.0,1108.0,1712.0,1021.0,980.0,284.0,567.0,129.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,99.0,20.0,3.0,0.0,59.0,0.0,17.0,14.0,1.0,156.0,36.0,205.0,4.0,5.0,159.0,102.0,34.0,0.0,0.0,0.0,23.0,0.0,973.0,2.0,2.0,415.0,54.0,0.0,214.0,24.0,262.0,110.0,38.0,11.0,3.0,880.0,411.0,469.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,1.0,0.0,112.0
2,ARIZONA,Cities,Coolidge,13277.0,1316.0,202.0,529.0,585.0,187.0,73.0,107.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,4.0,0.0,0.0,5.0,0.0,2.0,5.0,0.0,38.0,8.0,130.0,0.0,0.0,18.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,175.0,0.0,0.0,13.0,3.0,109.0,20.0,5.0,5.0,0.0,545.0,266.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
3,ARIZONA,Cities,Eagar,4944.0,91.0,25.0,34.0,32.0,21.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,9.0,3.0,0.0,0.0,0.0,31.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,ARIZONA,Cities,Gilbert,259629.0,11263.0,2176.0,6048.0,3039.0,1987.0,195.0,1356.0,436.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,148.0,46.0,1.0,0.0,79.0,0.0,22.0,10.0,0.0,363.0,95.0,2027.0,22.0,27.0,925.0,301.0,158.0,12.0,0.0,0.0,448.0,6.0,2305.0,2.0,5.0,651.0,53.0,0.0,579.0,59.0,956.0,155.0,40.0,79.0,31.0,2800.0,1190.0,1610.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0,1.0,2.0,0.0,130.0
5,ARIZONA,Cities,Huachuca City,1723.0,30.0,2.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,ARIZONA,Cities,Lake Havasu City,56243.0,2656.0,794.0,1177.0,685.0,720.0,75.0,600.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,26.0,1.0,0.0,28.0,4.0,13.0,7.0,0.0,103.0,27.0,77.0,1.0,2.0,273.0,143.0,59.0,8.0,0.0,0.0,61.0,2.0,627.0,0.0,2.0,133.0,2.0,3.0,123.0,13.0,351.0,53.0,3.0,4.0,26.0,614.0,331.0,283.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,32.0
7,ARIZONA,Cities,Mesa,527361.0,27198.0,6604.0,14513.0,6081.0,5941.0,1345.0,3833.0,763.0,28.0,19.0,3.0,6.0,4.0,4.0,0.0,146.0,485.0,151.0,48.0,41.0,210.0,1.0,34.0,22.0,0.0,1608.0,204.0,1147.0,74.0,39.0,2439.0,786.0,687.0,27.0,4.0,111.0,812.0,12.0,7440.0,11.0,12.0,2171.0,756.0,18.0,2120.0,653.0,1699.0,1037.0,383.0,120.0,54.0,5555.0,2448.0,3107.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,13.0,6.0,15.0,403.0
8,ARIZONA,Cities,Oro Valley,46634.0,1671.0,137.0,979.0,555.0,130.0,16.0,102.0,12.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,40.0,4.0,186.0,2.0,0.0,215.0,73.0,37.0,14.0,0.0,4.0,69.0,18.0,502.0,0.0,0.0,196.0,45.0,0.0,128.0,13.0,120.0,18.0,8.0,3.0,2.0,539.0,242.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
9,ARIZONA,Cities,Parker,3224.0,214.0,19.0,157.0,38.0,15.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,23.0,3.0,58.0,0.0,0.0,13.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,30.0,11.0,1.0,1.0,0.0,35.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
