index,list,sum
4,population_1,99500929.0
5,total_offenses,7786435.0
6,crimes_against_persons,2031487.0
7,crimes_against_property,4705273.0
8,crimes_against_society,1162129.0
9,assault_offenses,1876472.0
10,aggravated_assault,418570.0
11,simple_assault,1122717.0
12,intimidation,335931.0
13,homicide_offenses,10642.0
14,murder_and_nonnegligent_manslaughter,9384.0
15,negligent_man_slaughter,929.0
16,justifiable_homicide,329.0
17,human_trafficking_offenses,1421.0
18,commercial_sex_acts,1196.0
19,involuntary_servitude,225.0
20,kidnapping_abduction,27930.0
21,sex_offenses,116309.0
22,rape,46220.0
23,sodomy,11659.0
24,sexual_assault_with_an_object,4768.0
25,fondling,47122.0
26,incest,890.0
27,statutory_rape,5650.0
28,arson,19438.0
29,bribery,594.0
30,burglary_breaking_&_entering,471707.0
31,counter_feiting_forgery,92424.0
32,destruction_damage_vandalism_of_property,925862.0
33,embezzle_ment,17607.0
34,extortion_blackmail,8367.0
35,fraud_offenses,591371.0
36,false_pretenses_swindle_confidence_game,210723.0
37,credit_card_automated_teller_machine_fraud,125738.0
38,imper_sonation,85493.0
39,welfare_fraud,5885.0
40,wire_fraud,19722.0
41,identity_theft,139852.0
42,hacking_computer_invasion,3958.0
43,larceny_theft_offenses,2220815.0
44,pocket_picking,7703.0
45,purse_snatching,6120.0
46,shop_lifting,459034.0
47,theft_from_building,175347.0
48,theft_from_coin_op_erated_machine_or_device,4538.0
49,theft_from_motor_vehicle,595242.0
50,theft_of_motor_vehicle_parts_or_acces_sories,147990.0
51,all_other_larceny,824841.0
52,motor_vehicle_theft,367121.0
53,robbery,93763.0
54,stolen_property_offenses,64656.0
55,animal_cruelty,10750.0
56,drug_narcotic_offenses,947765.0
57,drug_narcotic_violations,644732.0
58,drug_equipment_violations,303033.0
59,gambling_offenses,1063.0
60,betting_wagering,295.0
61,operating_promoting_assisting_gambling,516.0
62,gambling_equipment_violations,243.0
63,sports_tampering,9.0
64,por_nography_obscene_material,23391.0
65,pros_titution_offenses,6366.0
66,pros_titution,3923.0
67,assisting_or_promoting_prostitution,1614.0
68,purchasing_prostitution,829.0
69,weapon_law_violations,172794.0
