state,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
ARIZONA,1351313.0,83933.0,18434.0,47279.0,18220.0,16751.0,3605.0,10998.0,2148.0,86.0,71.0,7.0,8.0,5.0,5.0,0.0,302.0,1290.0,396.0,76.0,51.0,633.0,6.0,128.0,186.0,1.0,4403.0,567.0,8388.0,147.0,113.0,6778.0,2507.0,1529.0,385.0,18.0,198.0,1988.0,153.0,23062.0,21.0,39.0,7635.0,1296.0,44.0,5268.0,986.0,7773.0,2610.0,720.0,304.0,182.0,16511.0,7644.0,8867.0,0.0,0.0,0.0,0.0,0.0,232.0,39.0,15.0,9.0,15.0,1256.0
COLORADO,4044858.0,327846.0,60379.0,239283.0,28439.0,52268.0,15756.0,31230.0,5282.0,340.0,286.0,39.0,15.0,29.0,28.0,1.0,2275.0,5467.0,2168.0,727.0,578.0,1859.0,61.0,74.0,1278.0,137.0,21481.0,3565.0,45184.0,273.0,671.0,27001.0,6620.0,4594.0,3327.0,46.0,454.0,11391.0,569.0,104802.0,163.0,249.0,17990.0,7727.0,304.0,31304.0,12297.0,34768.0,29212.0,3862.0,2711.0,721.0,19820.0,12873.0,6947.0,5.0,1.0,1.0,3.0,0.0,765.0,200.0,111.0,80.0,9.0,6928.0
IDAHO,966222.0,70989.0,16515.0,31982.0,22881.0,14310.0,3067.0,9785.0,1458.0,46.0,36.0,8.0,2.0,4.0,3.0,1.0,235.0,1920.0,588.0,129.0,119.0,1012.0,6.0,66.0,150.0,0.0,3278.0,721.0,6517.0,136.0,101.0,4852.0,2027.0,1355.0,572.0,25.0,373.0,470.0,30.0,14249.0,136.0,17.0,3636.0,1279.0,38.0,3209.0,375.0,5559.0,1552.0,156.0,376.0,52.0,21647.0,11217.0,10430.0,0.0,0.0,0.0,0.0,0.0,285.0,33.0,26.0,6.0,1.0,864.0
MONTANA,518813.0,53990.0,13548.0,33529.0,7546.0,11823.0,3395.0,7089.0,1339.0,57.0,47.0,5.0,5.0,4.0,4.0,0.0,272.0,1447.0,497.0,50.0,22.0,790.0,45.0,43.0,156.0,2.0,2559.0,1013.0,8151.0,72.0,7.0,2521.0,1028.0,375.0,0.0,9.0,8.0,1099.0,2.0,18018.0,17.0,25.0,4173.0,1155.0,32.0,3573.0,845.0,8198.0,2518.0,272.0,276.0,100.0,7200.0,3863.0,3337.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,12.0,4.0,7.0,207.0
NEVADA,410368.0,32194.0,8663.0,19474.0,4057.0,7497.0,1523.0,5661.0,313.0,32.0,24.0,1.0,7.0,59.0,57.0,2.0,225.0,850.0,407.0,64.0,16.0,349.0,1.0,13.0,62.0,2.0,1691.0,374.0,3838.0,125.0,66.0,4273.0,1383.0,603.0,63.0,0.0,0.0,2210.0,14.0,6649.0,6.0,5.0,394.0,138.0,4.0,1768.0,407.0,3927.0,1480.0,388.0,526.0,5.0,3328.0,2051.0,1277.0,15.0,15.0,0.0,0.0,0.0,34.0,25.0,2.0,18.0,5.0,650.0
NEW MEXICO,676407.0,80548.0,20426.0,53802.0,6320.0,18518.0,6787.0,10881.0,850.0,107.0,93.0,9.0,5.0,4.0,2.0,2.0,713.0,1084.0,440.0,133.0,65.0,428.0,0.0,18.0,213.0,42.0,5755.0,495.0,12109.0,248.0,89.0,4518.0,2284.0,1146.0,80.0,4.0,56.0,939.0,9.0,22439.0,22.0,15.0,6441.0,1546.0,72.0,8119.0,2054.0,4170.0,5670.0,1529.0,695.0,48.0,4696.0,2735.0,1961.0,1.0,1.0,0.0,0.0,0.0,123.0,58.0,19.0,27.0,12.0,1394.0
OREGON,2664619.0,213700.0,35311.0,160624.0,20964.0,32394.0,7790.0,19624.0,4980.0,162.0,112.0,43.0,7.0,24.0,22.0,2.0,424.0,3032.0,1010.0,323.0,186.0,1212.0,48.0,253.0,1252.0,11.0,12528.0,2975.0,33711.0,243.0,146.0,15384.0,5524.0,3151.0,543.0,13.0,800.0,5213.0,140.0,76101.0,258.0,335.0,14854.0,5568.0,235.0,24009.0,4828.0,26014.0,15195.0,2062.0,1016.0,355.0,14535.0,13306.0,1229.0,1.0,0.0,1.0,0.0,0.0,477.0,109.0,60.0,36.0,13.0,5487.0
UTAH,2024902.0,176759.0,32077.0,106928.0,37754.0,27265.0,4232.0,17899.0,5134.0,108.0,88.0,18.0,2.0,63.0,58.0,5.0,866.0,3775.0,1121.0,284.0,80.0,2113.0,15.0,162.0,268.0,11.0,7292.0,2306.0,22176.0,85.0,242.0,12052.0,4541.0,5007.0,1810.0,3.0,617.0,65.0,9.0,50970.0,72.0,224.0,10099.0,2790.0,49.0,17813.0,3442.0,16481.0,8430.0,1141.0,1955.0,61.0,33781.0,16897.0,16884.0,4.0,1.0,0.0,3.0,0.0,495.0,142.0,118.0,23.0,1.0,3271.0
WASHINGTON,5005054.0,463418.0,78434.0,354377.0,30607.0,71561.0,14395.0,44809.0,12357.0,330.0,291.0,28.0,11.0,78.0,63.0,15.0,1251.0,5214.0,2269.0,261.0,82.0,2357.0,55.0,190.0,1295.0,14.0,38420.0,4339.0,66551.0,209.0,637.0,57325.0,8257.0,6450.0,5470.0,42.0,928.0,35732.0,446.0,147608.0,341.0,392.0,24044.0,8619.0,160.0,46574.0,10040.0,57438.0,27045.0,5140.0,5794.0,198.0,23709.0,15112.0,8597.0,2.0,2.0,0.0,0.0,0.0,733.0,412.0,192.0,98.0,122.0,5553.0
WYOMING,35257.0,2110.0,693.0,973.0,444.0,623.0,55.0,489.0,79.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,57.0,46.0,1.0,5.0,5.0,0.0,0.0,6.0,0.0,121.0,26.0,239.0,0.0,3.0,72.0,26.0,26.0,6.0,0.0,0.0,11.0,3.0,468.0,3.0,7.0,141.0,64.0,1.0,93.0,7.0,152.0,29.0,3.0,6.0,16.0,415.0,319.0,96.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0
