index,list,sum
1,population_1,17697813.0
2,total_offenses,1505487.0
3,crimes_against_persons,284480.0
4,crimes_against_property,1048251.0
5,crimes_against_society,177232.0
6,assault_offenses,253010.0
7,aggravated_assault,60605.0
8,simple_assault,158465.0
9,intimidation,33940.0
10,homicide_offenses,1269.0
11,murder_and_nonnegligent_manslaughter,1048.0
12,negligent_man_slaughter,159.0
13,justifiable_homicide,62.0
14,human_trafficking_offenses,270.0
15,commercial_sex_acts,242.0
16,involuntary_servitude,28.0
17,kidnapping_abduction,6575.0
18,sex_offenses,24136.0
19,rape,8942.0
20,sodomy,2048.0
21,sexual_assault_with_an_object,1204.0
22,fondling,10758.0
23,incest,237.0
24,statutory_rape,947.0
25,arson,4866.0
26,bribery,220.0
27,burglary_breaking_&_entering,97528.0
28,counter_feiting_forgery,16381.0
29,destruction_damage_vandalism_of_property,206864.0
30,embezzle_ment,1538.0
31,extortion_blackmail,2075.0
32,fraud_offenses,134776.0
33,false_pretenses_swindle_confidence_game,34197.0
34,credit_card_automated_teller_machine_fraud,24236.0
35,imper_sonation,12256.0
36,welfare_fraud,160.0
37,wire_fraud,3434.0
38,identity_theft,59118.0
39,hacking_computer_invasion,1375.0
40,larceny_theft_offenses,464366.0
41,pocket_picking,1039.0
42,purse_snatching,1308.0
43,shop_lifting,89407.0
44,theft_from_building,30182.0
45,theft_from_coin_op_erated_machine_or_device,939.0
46,theft_from_motor_vehicle,141730.0
47,theft_of_motor_vehicle_parts_or_acces_sories,35281.0
48,all_other_larceny,164480.0
49,motor_vehicle_theft,93741.0
50,robbery,15273.0
51,stolen_property_offenses,13659.0
52,animal_cruelty,1738.0
53,drug_narcotic_offenses,145642.0
54,drug_narcotic_violations,86017.0
55,drug_equipment_violations,59625.0
56,gambling_offenses,28.0
57,betting_wagering,20.0
58,operating_promoting_assisting_gambling,2.0
59,gambling_equipment_violations,6.0
60,sports_tampering,0.0
61,por_nography_obscene_material,3163.0
62,pros_titution_offenses,1041.0
63,pros_titution,555.0
64,assisting_or_promoting_prostitution,301.0
65,purchasing_prostitution,185.0
66,weapon_law_violations,25620.0
